horizontal segments,vertical segments,runtime(ms)
41800,1,9.749174118041992
600,1,1.1053085327148438
80400,1,16.03555679321289
15600,1,4.767894744873047
7100,1,2.5336742401123047
12300,1,3.1201839447021484
22700,1,8.059024810791016
50600,1,10.588407516479492
8500,1,3.5691261291503906
57500,1,17.84682273864746
31600,1,10.624885559082031
12900,1,4.785060882568359
67200,1,16.61229133605957
39600,1,10.202407836914062
89200,1,27.09484100341797
82200,1,18.40972900390625
27400,1,8.54039192199707
61200,1,14.255523681640625
39500,1,9.315967559814453
13000,1,5.167484283447266
78800,1,15.776634216308594
79500,1,18.185138702392578
15400,1,5.765676498413086
97800,1,24.807214736938477
65000,1,20.430326461791992
38500,1,9.631633758544922
54200,1,13.960838317871094
17600,1,4.990100860595703
60000,1,17.52924919128418
97100,1,28.142452239990234
82000,1,18.428802490234375
11900,1,3.997325897216797
70700,1,15.785694122314453
98500,1,21.251440048217773
60200,1,12.639760971069336
88900,1,20.514488220214844
88600,1,18.260717391967773
22900,1,7.408380508422852
79300,1,19.75417137145996
51000,1,13.078927993774414
32800,1,7.332801818847656
34800,1,13.370752334594727
56800,1,14.457464218139648
73100,1,15.965700149536133
80600,1,16.530752182006836
29300,1,8.092880249023438
71500,1,15.302658081054688
14100,1,5.480766296386719
13400,1,5.226612091064453
1100,1,1.2362003326416016
28800,1,7.803440093994141
32200,1,11.053323745727539
30900,1,8.755207061767578
63900,1,16.47496223449707
97700,1,23.212432861328125
93800,1,23.797273635864258
63000,1,13.301372528076172
86400,1,18.308401107788086
33900,1,7.997035980224609
4300,1,1.7666816711425781
71200,1,14.192581176757812
70500,1,14.662504196166992
4500,1,2.2194385528564453
31100,1,6.855964660644531
17400,1,5.019426345825195
19500,1,5.56492805480957
65500,1,14.981508255004883
2600,1,1.138925552368164
1400,1,1.2080669403076172
85200,1,21.909475326538086
61800,1,15.607833862304688
88400,1,18.204927444458008
42700,1,8.864879608154297
94200,1,21.73018455505371
8900,1,3.553152084350586
36500,1,8.637189865112305
72400,1,15.964746475219727
12600,1,4.99272346496582
66800,1,16.186952590942383
40300,1,8.524179458618164
41700,1,10.666370391845703
45100,1,12.414216995239258
32600,1,8.035421371459961
29400,1,8.855342864990234
28200,1,7.706165313720703
47600,1,11.411190032958984
53700,1,12.952566146850586
40500,1,10.955095291137695
84100,1,19.136905670166016
9500,1,3.5490989685058594
8000,1,2.8772354125976562
84800,1,17.97795295715332
3800,1,1.8341541290283203
19400,1,4.662513732910156
6400,1,2.914905548095703
65400,1,13.714075088500977
49400,1,11.666297912597656
65900,1,15.922307968139648
56600,1,12.043952941894531
26800,1,7.562160491943359
22500,1,7.068634033203125
72200,1,17.175674438476562
36200,1,11.547088623046875
42500,1,14.803886413574219
14500,1,4.333019256591797
27700,1,9.699344635009766
30600,1,6.674766540527344
50700,1,12.861013412475586
45400,1,11.00778579711914
4900,1,2.537250518798828
56000,1,13.191461563110352
93300,1,19.509315490722656
99500,1,20.7979679107666
99400,1,20.36285400390625
76700,1,16.32976531982422
74700,1,20.95341682434082
68600,1,14.492273330688477
22400,1,7.09843635559082
69500,1,16.84093475341797
15900,1,4.544973373413086
52600,1,10.988473892211914
68900,1,15.363693237304688
98000,1,20.131349563598633
3700,1,2.1181106567382812
15500,1,3.94439697265625
70300,1,14.966726303100586
40200,1,8.802413940429688
53900,1,11.222600936889648
66500,1,15.607118606567383
83200,1,16.90840721130371
95900,1,20.31731605529785
15800,1,5.852937698364258
47900,1,10.644912719726562
79900,1,17.314434051513672
76300,1,17.84682273864746
9600,1,4.168272018432617
23600,1,6.340980529785156
23200,1,6.822347640991211
79000,1,16.336441040039062
9100,1,2.9621124267578125
13600,1,4.724025726318359
85100,1,17.789840698242188
85800,1,17.748355865478516
13500,1,5.34510612487793
37900,1,8.300542831420898
64200,1,17.91548728942871
61000,1,17.262935638427734
73900,1,15.236377716064453
24800,1,6.519556045532227
97200,1,25.023460388183594
67500,1,14.717817306518555
41200,1,10.552167892456055
46200,1,9.956598281860352
52700,1,15.190839767456055
27100,1,7.112741470336914
39200,1,13.055086135864258
76200,1,18.64933967590332
70100,1,18.036603927612305
14600,1,5.572795867919922
37500,1,10.37287712097168
43000,1,13.343572616577148
31200,1,11.344671249389648
47400,1,14.84060287475586
12700,1,4.306554794311523
25000,1,7.709741592407227
90500,1,22.691011428833008
23100,1,5.628824234008789
20100,1,7.359743118286133
92400,1,22.69721031188965
28900,1,7.747650146484375
68500,1,23.673057556152344
6500,1,2.355337142944336
80200,1,16.74365997314453
