horizontal segments,vertical segments,runtime(ms)
1,41800,14.856815338134766
1,600,1.4445781707763672
1,80400,29.765605926513672
1,15600,6.937742233276367
1,7100,3.682374954223633
1,12300,4.731416702270508
1,22700,6.7958831787109375
1,50600,15.910148620605469
1,8500,4.487037658691406
1,57500,16.545772552490234
1,31600,13.793230056762695
1,12900,5.494594573974609
1,67200,20.416259765625
1,39600,16.837120056152344
1,89200,36.07439994812012
1,82200,24.100542068481445
1,27400,10.175704956054688
1,61200,20.71690559387207
1,39500,11.268854141235352
1,13000,5.972146987915039
1,78800,22.197961807250977
1,79500,23.062467575073242
1,15400,7.093667984008789
1,97800,29.19316291809082
1,65000,21.119117736816406
1,38500,12.601375579833984
1,54200,19.4549560546875
1,17600,6.152153015136719
1,60000,21.569490432739258
1,97100,31.576871871948242
1,82000,31.43143653869629
1,11900,5.598545074462891
1,70700,22.579193115234375
1,98500,29.534339904785156
1,60200,17.805099487304688
1,88900,29.713153839111328
1,88600,26.535987854003906
1,22900,8.867979049682617
1,79300,26.074886322021484
1,51000,15.630245208740234
1,32800,13.562202453613281
1,34800,13.97395133972168
1,56800,17.360448837280273
1,73100,21.477222442626953
1,80600,23.2241153717041
1,29300,10.782480239868164
1,71500,27.846097946166992
1,14100,4.657506942749023
1,13400,4.665613174438477
1,1100,1.4073848724365234
1,28800,9.542226791381836
1,32200,10.94508171081543
1,30900,9.345769882202148
1,63900,18.469572067260742
1,97700,32.08160400390625
1,93800,29.114723205566406
1,63000,17.689228057861328
1,86400,23.898601531982422
1,33900,9.870767593383789
1,4300,2.6357173919677734
1,71200,23.63133430480957
1,70500,23.18429946899414
1,4500,3.9281845092773438
1,31100,10.931730270385742
1,17400,7.420778274536133
1,19500,7.746458053588867
1,65500,18.898487091064453
1,2600,1.8570423126220703
1,1400,1.3515949249267578
1,85200,25.858163833618164
1,61800,18.062829971313477
1,88400,25.15387535095215
1,42700,14.683723449707031
1,94200,28.493642807006836
1,8900,3.695964813232422
1,36500,16.252756118774414
1,72400,23.160934448242188
1,12600,4.568815231323242
1,66800,18.913984298706055
1,40300,12.42518424987793
1,41700,11.793375015258789
1,45100,12.862205505371094
1,32600,11.319875717163086
1,29400,8.623123168945312
1,28200,11.502265930175781
1,47600,13.794183731079102
1,53700,17.668485641479492
1,40500,12.28022575378418
1,84100,23.731470108032227
1,9500,4.918813705444336
1,8000,3.451108932495117
1,84800,26.239633560180664
1,3800,2.4750232696533203
1,19400,9.041786193847656
1,6400,2.7196407318115234
1,65400,24.058103561401367
1,49400,14.31417465209961
1,65900,19.819021224975586
1,56600,20.855188369750977
1,26800,8.042335510253906
1,22500,6.610631942749023
1,72200,21.07405662536621
1,36200,14.94598388671875
1,42500,13.514995574951172
1,14500,4.863500595092773
1,27700,9.62209701538086
1,30600,9.692907333374023
1,50700,17.833232879638672
1,45400,16.465425491333008
1,4900,2.8569698333740234
1,56000,15.81120491027832
1,93300,29.883861541748047
1,99500,29.471874237060547
1,99400,29.95443344116211
1,76700,25.56753158569336
1,74700,27.020931243896484
1,68600,20.836353302001953
1,22400,10.167121887207031
1,69500,20.299911499023438
1,15900,7.367134094238281
1,52600,15.352249145507812
1,68900,24.052143096923828
1,98000,31.32486343383789
1,3700,2.3822784423828125
1,15500,5.119085311889648
1,70300,23.969650268554688
1,40200,12.28189468383789
1,53900,20.432233810424805
1,66500,23.380041122436523
1,83200,29.089689254760742
1,95900,32.15312957763672
1,15800,5.244016647338867
1,47900,15.848398208618164
1,79900,26.448488235473633
1,76300,22.443771362304688
1,9600,4.842281341552734
1,23600,8.235454559326172
1,23200,8.268356323242188
1,79000,25.098323822021484
1,9100,3.2622814178466797
1,13600,5.353450775146484
1,85100,25.0396728515625
1,85800,29.35004234313965
1,13500,6.080865859985352
1,37900,12.353658676147461
1,64200,20.748615264892578
1,61000,18.12577247619629
1,73900,22.35865592956543
1,24800,7.843017578125
1,97200,35.65502166748047
1,67500,20.448923110961914
1,41200,15.501976013183594
1,46200,15.851974487304688
1,52700,16.425609588623047
1,27100,9.687662124633789
1,39200,12.164592742919922
1,76200,23.781776428222656
1,70100,20.959138870239258
1,14600,6.7501068115234375
1,37500,11.944770812988281
1,43000,12.832880020141602
1,31200,9.916067123413086
1,47400,14.264583587646484
1,12700,6.105184555053711
